desc,down,ydstogo,yardline_100,penalty_yards,penalty_accepted,penalty_type
"(14:01) (No Huddle, Shotgun) 19-J.Flacco pass incomplete short right [93-C.Campbell]. PENALTY on NYJ-19-J.Flacco, Intentional Grounding, 10 yards, enforced at NYJ 46.",3,5,54,-10,TRUE,Intentional Grounding
"(8:31) (Shotgun) 19-J.Flacco pass incomplete deep left to 8-E.Moore. PENALTY on BAL-44-M.Humphrey, Illegal Contact, 5 yards, enforced at NYJ 12 - No Play.",3,9,88,5,TRUE,Illegal Contact
"(5:21) 32-Mi.Carter right end pushed ob at NYJ 44 for 3 yards (40-M.Harrison). PENALTY on NYJ-81-L.Cager, Offensive Holding, 10 yards, enforced at NYJ 42.",1,10,59,-10,TRUE,Offensive Holding
"(4:41) 8-L.Jackson pass incomplete deep right to 10-D.Robinson. PENALTY on NYJ-29-L.Joyner, Defensive Pass Interference, 32 yards, enforced at BAL 38 - No Play.",1,10,62,32,TRUE,Defensive Pass Interference
"(6:30) (No Huddle, Shotgun) 19-J.Flacco sacked at NYJ 20 for -6 yards (92-J.Madubuike). PENALTY on BAL-21-B.Stephens, Illegal Contact, 5 yards, enforced at NYJ 26 - No Play.",3,9,74,5,TRUE,Illegal Contact
"9-J.Tucker kicks 70 yards from BAL 35 to NYJ -5. 10-B.Berrios pushed ob at NYJ 18 for 23 yards (5-J.Armour-Davis). PENALTY on NYJ-54-J.Martin, Offensive Holding, 9 yards, enforced at NYJ 18.",NA,0,35,-9,TRUE,Offensive Holding
"(13:17) (Shotgun) 8-L.Jackson right end to BAL 28 for 5 yards (57-C.Mosley). PENALTY on BAL-80-I.Likely, Offensive Holding, 10 yards, enforced at BAL 23 - No Play.",2,2,77,-10,TRUE,Offensive Holding
"(7:08) (No Huddle, Shotgun) 32-Mi.Carter left end to BAL 21 for no gain (60-S.Means; 40-M.Harrison). PENALTY on NYJ-76-G.Fant, Offensive Holding, 10 yards, enforced at BAL 21 - No Play.",1,10,21,-10,TRUE,Offensive Holding
"(4:17) 17-K.Drake right end to BAL 19 for 12 yards (3-J.Whitehead; 57-C.Mosley). PENALTY on BAL-3-J.Proche, Offensive Holding, 4 yards, enforced at BAL 7 - No Play.",1,10,93,-4,TRUE,Offensive Holding
"(2:07) 19-J.Flacco sacked at BAL 31 for -9 yards (96-B.Washington). PENALTY on BAL-23-K.Fuller, Defensive Holding, 5 yards, enforced at BAL 22 - No Play.",3,5,22,5,TRUE,Defensive Holding
"(1:22) (Shotgun) 19-J.Flacco pass short right to 8-E.Moore for 12 yards, TOUCHDOWN NULLIFIED by Penalty. BAL-23-K.Fuller was injured during the play.  PENALTY on NYJ-8-E.Moore, Offensive Pass Interference, 10 yards, enforced at BAL 12 - No Play.",4,5,12,-10,TRUE,Offensive Pass Interference
"(9:28) (No Huddle) PENALTY on LA-73-D.Edwards, False Start, 5 yards, enforced at LA 22 - No Play.",2,5,78,-5,TRUE,False Start
"(1:53) 17-J.Allen pass short left to 88-D.Knox to LA 47 for 5 yards (58-J.Hollins). PENALTY on LA-58-J.Hollins, Horse Collar Tackle, 15 yards, enforced at LA 47.",1,10,52,15,TRUE,Horse Collar Tackle
"(7:20) (Shotgun) 19-B.Powell left tackle to BUF 41 for 3 yards (55-C.Basham). PENALTY on BUF-97-J.Phillips, Defensive Holding, 5 yards, enforced at BUF 41.",1,10,44,5,TRUE,Defensive Holding
"(2:16) (Shotgun) PENALTY on LA, Defensive Too Many Men on Field, 5 yards, enforced at BUF 23 - No Play.",3,12,77,5,TRUE,Defensive Too Many Men on Field
"(1:45) (No Huddle, Shotgun) 9-M.Stafford pass incomplete deep left to 10-C.Kupp. PENALTY on BUF-7-T.Johnson, Defensive Holding, 5 yards, enforced at BUF 45 - No Play.",3,10,45,5,TRUE,Defensive Holding
"(10:51) (Shotgun) PENALTY on BUF-76-R.Saffold, False Start, 5 yards, enforced at LA 38 - No Play.",3,2,38,-5,TRUE,False Start
"(5:11) PENALTY on BUF-79-S.Brown, False Start, 5 yards, enforced at BUF 11 - No Play.",1,10,89,-5,TRUE,False Start
"(9:17) (Shotgun) PENALTY on LA-18-B.Skowronek, False Start, 5 yards, enforced at LA 24 - No Play.",2,10,76,-5,TRUE,False Start
"(7:06) (No Huddle, Shotgun) 9-M.Stafford pass short middle intended for 89-T.Higbee INTERCEPTED by 55-C.Basham at LA 43. 55-C.Basham to LA 22 for 21 yards (9-M.Stafford). PENALTY on BUF-30-D.Jackson, Taunting, 15 yards, enforced at LA 22.",1,10,55,15,TRUE,Taunting
"(8:46) (No Huddle) 6-B.Mayfield pass short right to 22-C.McCaffrey to CLE 44 for 16 yards (28-J.Owusu-Koramoah; 5-A.Walker). PENALTY on CAR-80-I.Thomas, Offensive Holding, 10 yards, enforced at CAR 40 - No Play.",2,6,60,-10,TRUE,Offensive Holding
"(6:45) 24-N.Chubb right tackle to CLE 46 for 11 yards (97-Y.Gross-Matos). PENALTY on CLE-77-W.Teller, Offensive Holding, 10 yards, enforced at CLE 35 - No Play.",1,10,65,-10,TRUE,Offensive Holding
"(5:04) (Shotgun) 7-J.Brissett pass incomplete deep left to 27-K.Hunt. PENALTY on CAR-8-J.Horn, Defensive Holding, 5 yards, enforced at CLE 40 - No Play.",3,5,60,5,TRUE,Defensive Holding
"(1:11) (Shotgun) PENALTY on CAR, Delay of Game, 5 yards, enforced at CAR 10 - No Play.",3,5,90,-5,TRUE,Delay of Game
"(1:11) (Shotgun) 6-B.Mayfield pass incomplete short right to 82-T.Tremble. PENALTY on CLE-99-T.Bryan, Roughing the Passer, 15 yards, enforced at CAR 5 - No Play.",3,10,95,15,TRUE,Roughing the Passer
"(:35) (Shotgun) 6-B.Mayfield sacked at CAR 15 for -8 yards (sack split by 43-J.Johnson and 33-R.Harrison). PENALTY on CAR, Unsportsmanlike Conduct, 7 yards, enforced at CAR 15.",3,7,77,-7,TRUE,Unsportsmanlike Conduct
"(11:02) (Shotgun) 7-J.Brissett pass deep left intended for 2-A.Cooper INTERCEPTED by 25-X.Woods [53-B.Burns] at CAR 0. 25-X.Woods to CAR 31 for 31 yards (88-H.Bryant). PENALTY on CAR-24-C.Henderson, Defensive Pass Interference, 34 yards, enforced at CAR 35 - No Play.",3,3,35,34,TRUE,Defensive Pass Interference
"(1:17) (Shotgun) PENALTY on CLE-2-A.Cooper, False Start, 5 yards, enforced at CLE 42 - No Play.",3,8,58,-5,TRUE,False Start
"(1:17) (Shotgun) 7-J.Brissett pass short left to 27-K.Hunt to CAR 39 for 24 yards (95-D.Brown). PENALTY on CAR-25-X.Woods, Low Block, 15 yards, enforced at CAR 39.",3,13,63,15,TRUE,Low Block
"3-C.York kicks 65 yards from CLE 35 to end zone, Touchback. PENALTY on CLE-29-H.Miller, Illegal Formation, 5 yards, enforced at CLE 35 - No Play.",NA,0,35,5,TRUE,Illegal Formation
"(8:51) PENALTY on CLE, Delay of Game, 5 yards, enforced at CAR 11 - No Play.",2,6,11,-5,TRUE,Delay of Game
"(6:59) 6-B.Mayfield pass incomplete short right to 3-R.Anderson. PENALTY on CLE-23-M.Emerson, Defensive Pass Interference, 6 yards, enforced at CAR 22 - No Play.",2,6,78,6,TRUE,Defensive Pass Interference
"(2:59) (Run formation) PENALTY on CLE, Delay of Game, 5 yards, enforced at CLE 41 - No Play.",4,2,59,-5,TRUE,Delay of Game
